town,flat_type,block,street_name,floor_area_sqm,flat_model,resale_price,remaining_lease,storey_no,lease_commence_date
ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,67,New Generation,260000,62,13,2008
ANG MO KIO,3 ROOM,565,ANG MO KIO AVE 3,68,New Generation,265000,61.83333333,3,2008
ANG MO KIO,3 ROOM,605,ANG MO KIO AVE 5,67,New Generation,270000,62.25,9,2013
ANG MO KIO,3 ROOM,434,ANG MO KIO AVE 10,67,New Generation,270000,60.83333333,3,2013
ANG MO KIO,3 ROOM,154,ANG MO KIO AVE 5,68,New Generation,271000,62.83333333,6,1975
ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,67,New Generation,276000,66.5,14,2000
ANG MO KIO,3 ROOM,629,ANG MO KIO AVE 4,67,New Generation,280000,63.58333333,3,1986
ANG MO KIO,3 ROOM,452,ANG MO KIO AVE 10,68,New Generation,285000,61.33333333,2,1999
ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,67,New Generation,290000,61.41666667,8,1984
ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,68,New Generation,290000,62.83333333,5,1978
ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,67,New Generation,298000,60.83333333,4,1974
ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,67,New Generation,300000,60.5,7,1983
ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,82,New Generation,300000,62,4,1988
ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,82,New Generation,303000,61.41666667,3,1988
ANG MO KIO,3 ROOM,607,ANG MO KIO AVE 4,68,New Generation,303000,62.66666667,5,1989
ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,67,New Generation,305500,61.33333333,9,2012
ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,68,New Generation,306000,61.91666667,6,1998
ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,67,New Generation,306000,61.91666667,10,2001
ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,73,New Generation,310000,58.08333333,7,1988
ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,73,New Generation,310000,58.08333333,7,1989
ANG MO KIO,3 ROOM,524,ANG MO KIO AVE 5,68,New Generation,310000,62.41666667,12,1999
ANG MO KIO,3 ROOM,128,ANG MO KIO AVE 3,67,New Generation,312888,60.5,4,2001
